"S21 Log Mag"
"Freq (Hz)","dB",
10364843750, -2.624683e+000,
10365625000, -2.627262e+000,
10366406250, -2.631437e+000,
10367187500, -2.624569e+000,
10367968750, -2.629391e+000,
10368750000, -2.630505e+000,
10369531250, -2.635433e+000,
10370312500, -2.623872e+000,
10371093750, -2.624083e+000,
10371875000, -2.619177e+000,
10372656250, -2.618818e+000,
10373437500, -2.628400e+000,
10374218750, -2.618562e+000,
10375000000, -2.618608e+000,
10375781250, -2.613115e+000,
10376562500, -2.620915e+000,
10377343750, -2.608713e+000,
10378125000, -2.606254e+000,
10378906250, -2.606441e+000,
10379687500, -2.599926e+000,
10380468750, -2.604661e+000,
10381250000, -2.603313e+000,
10382031250, -2.593245e+000,
10382812500, -2.587960e+000,
10383593750, -2.590896e+000,
10384375000, -2.585484e+000,
10385156250, -2.584361e+000,
10385937500, -2.601727e+000,
10386718750, -2.584502e+000,
10387500000, -2.583982e+000,
10388281250, -2.580173e+000,
10389062500, -2.575667e+000,
10389843750, -2.583009e+000,
10390625000, -2.582253e+000,
10391406250, -2.591957e+000,
10392187500, -2.600353e+000,
10392968750, -2.581013e+000,
10393750000, -2.588953e+000,
10394531250, -2.591028e+000,
10395312500, -2.589041e+000,
10396093750, -2.588234e+000,
10396875000, -2.595777e+000,
10397656250, -2.596203e+000,
10398437500, -2.610306e+000,
10399218750, -2.609688e+000,
10400000000, -2.599366e+000,
10400781250, -2.613503e+000,
10401562500, -2.611831e+000,
10402343750, -2.605604e+000,
10403125000, -2.619447e+000,
10403906250, -2.610132e+000,
10404687500, -2.600756e+000,
10405468750, -2.612626e+000,
10406250000, -2.607482e+000,
10407031250, -2.611263e+000,
10407812500, -2.620425e+000,
10408593750, -2.607192e+000,
10409375000, -2.609524e+000,
10410156250, -2.614079e+000,
10410937500, -2.612133e+000,
10411718750, -2.621666e+000,
10412500000, -2.612560e+000,
10413281250, -2.612826e+000,
10414062500, -2.631917e+000,
10414843750, -2.613579e+000,
10415625000, -2.604954e+000,
10416406250, -2.601366e+000,
10417187500, -2.600502e+000,
10417968750, -2.600349e+000,
10418750000, -2.599225e+000,
10419531250, -2.586758e+000,
10420312500, -2.579298e+000,
10421093750, -2.580344e+000,
10421875000, -2.573618e+000,
10422656250, -2.571535e+000,
10423437500, -2.570082e+000,
10424218750, -2.567877e+000,
10425000000, -2.584064e+000,
10425781250, -2.578484e+000,
10426562500, -2.581205e+000,
10427343750, -2.600158e+000,
10428125000, -2.574698e+000,
10428906250, -2.577949e+000,
10429687500, -2.573287e+000,
10430468750, -2.572629e+000,
10431250000, -2.580463e+000,
10432031250, -2.581402e+000,
10432812500, -2.584275e+000,
10433593750, -2.587180e+000,
10434375000, -2.590320e+000,
10435156250, -2.584594e+000,
10435937500, -2.589455e+000,
10436718750, -2.601858e+000,
10437500000, -2.602152e+000,
10438281250, -2.599308e+000,
10439062500, -2.607282e+000,
10439843750, -2.595325e+000,
10440625000, -2.606711e+000,
10441406250, -2.610058e+000,
10442187500, -2.600969e+000,
10442968750, -2.610296e+000,
10443750000, -2.605605e+000,
10444531250, -2.597708e+000,
10445312500, -2.601961e+000,
10446093750, -2.602571e+000,
10446875000, -2.602937e+000,
10447656250, -2.614598e+000,
10448437500, -2.609352e+000,
10449218750, -2.604746e+000,
10450000000, -2.606073e+000,
10450781250, -2.609164e+000,
10451562500, -2.600676e+000,
10452343750, -2.605776e+000,
10453125000, -2.602801e+000,
10453906250, -2.601834e+000,
10454687500, -2.611634e+000,
10455468750, -2.596566e+000,
10456250000, -2.600104e+000,
10457031250, -2.603069e+000,
10457812500, -2.586308e+000,
10458593750, -2.589425e+000,
10459375000, -2.585147e+000,
10460156250, -2.589969e+000,
10460937500, -2.600751e+000,
10461718750, -2.589441e+000,
10462500000, -2.585145e+000,
10463281250, -2.590503e+000,
10464062500, -2.583289e+000,
10464843750, -2.588077e+000,
10465625000, -2.592008e+000,
10466406250, -2.587355e+000,
10467187500, -2.585471e+000,
10467968750, -2.582625e+000,
10468750000, -2.581078e+000,
10469531250, -2.581087e+000,
10470312500, -2.587897e+000,
10471093750, -2.583864e+000,
10471875000, -2.590138e+000,
10472656250, -2.589890e+000,
10473437500, -2.585588e+000,
10474218750, -2.596945e+000,
10475000000, -2.589328e+000,
10475781250, -2.592185e+000,
10476562500, -2.593910e+000,
10477343750, -2.590084e+000,
10478125000, -2.593845e+000,
10478906250, -2.595805e+000,
10479687500, -2.601001e+000,
10480468750, -2.605971e+000,
10481250000, -2.605917e+000,
10482031250, -2.602789e+000,
10482812500, -2.599925e+000,
10483593750, -2.601511e+000,
10484375000, -2.606763e+000,
10485156250, -2.602774e+000,
10485937500, -2.599642e+000,
10486718750, -2.600601e+000,
10487500000, -2.594546e+000,
10488281250, -2.600288e+000,
10489062500, -2.601061e+000,
10489843750, -2.594424e+000,
10490625000, -2.585626e+000,
10491406250, -2.594744e+000,
10492187500, -2.586874e+000,
10492968750, -2.580862e+000,
10493750000, -2.576451e+000,
10494531250, -2.582661e+000,
10495312500, -2.574200e+000,
10496093750, -2.574218e+000,
10496875000, -2.573239e+000,
10497656250, -2.572049e+000,
10498437500, -2.568632e+000,
10499218750, -2.572492e+000,
10500000000, -2.571010e+000,
10500781250, -2.568005e+000,
10501562500, -2.583561e+000,
10502343750, -2.573189e+000,
10503125000, -2.572267e+000,
10503906250, -2.583262e+000,
10504687500, -2.571779e+000,
10505468750, -2.578468e+000,
10506250000, -2.576725e+000,
10507031250, -2.572303e+000,
10507812500, -2.579297e+000,
