Type;FSV-40;
Version;2.30 SP1;
Date;08.Jan 16;
Mode;ANALYZER;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000.000000;Hz
x-Axis;LIN;
Start;9999500000.000000;Hz
Stop;10000500000.000000;Hz
Ref Level;-68.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;1.000000;Hz
VBW;1.000000;Hz
SWT;11.377200;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
9999705797.1014061;-136.72438049316406;-193.839111328125
9999707246.3767681;-136.29019165039062;-190.07780456542969
9999708695.6521301;-135.59535217285156;-196.01612854003906
9999710144.9274921;-136.63825988769531;-183.58970642089844
9999711594.2028542;-124.27957916259766;-183.19252014160156
9999713043.4782162;-137.62712097167969;-185.97044372558594
9999714492.7535782;-135.91325378417969;-183.63420104980469
9999715942.0289402;-136.26045227050781;-184.66476440429687
9999717391.3043022;-136.14901733398437;-198.91693115234375
9999718840.5796642;-137.34587097167969;-189.51841735839844
9999720289.8550262;-136.09246826171875;-186.22785949707031
9999721739.1303883;-136.4866943359375;-184.17056274414062
9999723188.4057503;-136.48487854003906;-184.26617431640625
9999724637.6811123;-135.99241638183594;-185.53717041015625
9999726086.9564743;-136.86137390136719;-185.42234802246094
9999727536.2318363;-137.43406677246094;-187.43302917480469
9999728985.5071983;-137.48715209960937;-183.35768127441406
9999730434.7825603;-136.72248840332031;-184.26942443847656
9999731884.0579224;-136.80540466308594;-189.79771423339844
9999733333.3332844;-136.91983032226562;-182.9254150390625
9999734782.6086464;-135.54531860351562;-189.23887634277344
9999736231.8840084;-137.78103637695312;-194.65373229980469
9999737681.1593704;-137.36752319335937;-189.9359130859375
9999739130.4347324;-135.793212890625;-188.02900695800781
9999740579.7100945;-137.17103576660156;-190.07649230957031
9999742028.9854565;-136.0765380859375;-189.25167846679687
9999743478.2608185;-136.36856079101562;-189.85281372070312
9999744927.5361805;-134.15728759765625;-187.28367614746094
9999746376.8115425;-137.08770751953125;-191.43450927734375
9999747826.0869045;-137.46281433105469;-183.63688659667969
9999749275.3622665;-137.33816528320312;-186.658203125
9999750724.6376286;-137.47193908691406;-186.20590209960937
9999752173.9129906;-137.94927978515625;-187.38197326660156
9999753623.1883526;-138.06570434570312;-190.69219970703125
9999755072.4637146;-136.80021667480469;-185.26402282714844
9999756521.7390766;-136.43069458007812;-184.25004577636719
9999757971.0144386;-137.06044006347656;-186.56159973144531
9999759420.2898006;-138.13595581054687;-191.30404663085937
9999760869.5651627;-135.59164428710937;-184.57496643066406
9999762318.8405247;-136.06101989746094;-190.18925476074219
9999763768.1158867;-136.67056274414062;-184.3865966796875
9999765217.3912487;-136.74847412109375;-197.59188842773437
9999766666.6666107;-136.40025329589844;-185.60505676269531
9999768115.9419727;-137.335205078125;-193.44013977050781
9999769565.2173347;-136.90939331054687;-189.78581237792969
9999771014.4926968;-137.92146301269531;-187.03633117675781
9999772463.7680588;-137.60987854003906;-197.83407592773437
9999773913.0434208;-137.80630493164062;-182.08383178710937
9999775362.3187828;-137.04141235351562;-188.78326416015625
9999776811.5941448;-127.13014221191406;-188.1683349609375
9999778260.8695068;-137.73350524902344;-200
9999779710.1448689;-135.37434387207031;-185.10935974121094
9999781159.4202309;-137.03953552246094;-195.730712890625
9999782608.6955929;-137.72749328613281;-186.67587280273437
9999784057.9709549;-137.25234985351562;-182.95872497558594
9999785507.2463169;-137.26783752441406;-182.19328308105469
9999786956.5216789;-137.03033447265625;-190.62599182128906
9999788405.7970409;-137.63323974609375;-192.17604064941406
9999789855.072403;-137.03164672851563;-193.99844360351562
9999791304.347765;-136.49934387207031;-196.47001647949219
9999792753.623127;-137.58387756347656;-190.01359558105469
9999794202.898489;-136.66606140136719;-191.65798950195312
9999795652.173851;-136.57846069335938;-187.25930786132812
9999797101.449213;-136.47926330566406;-187.37954711914062
9999798550.724575;-136.27725219726562;-192.29460144042969
9999799999.9999371;-137.15266418457031;-192.45152282714844
9999801449.2752991;-137.39256286621094;-183.44320678710937
9999802898.5506611;-136.27078247070313;-194.4871826171875
9999804347.8260231;-136.46151733398438;-184.42434692382812
9999805797.1013851;-137.50801086425781;-192.14579772949219
9999807246.3767471;-136.68260192871094;-181.87980651855469
9999808695.6521091;-136.91860961914062;-200
9999810144.9274712;-125.88491821289062;-187.10719299316406
9999811594.2028332;-137.07142639160156;-188.63157653808594
9999813043.4781952;-136.71229553222656;-189.35931396484375
9999814492.7535572;-137.37464904785156;-186.67799377441406
9999815942.0289192;-137.24302673339844;-193.3433837890625
9999817391.3042812;-136.27377319335938;-187.03878784179687
9999818840.5796432;-136.34498596191406;-188.20814514160156
9999820289.8550053;-136.9376220703125;-183.10234069824219
9999821739.1303673;-136.77442932128906;-200
9999823188.4057293;-137.33737182617187;-196.151123046875
9999824637.6810913;-135.99327087402344;-191.25006103515625
9999826086.9564533;-136.55169677734375;-182.72750854492187
9999827536.2318153;-137.69779968261719;-179.88795471191406
9999828985.5071774;-137.64340209960937;-172.41714477539062
9999830434.7825394;-138.21173095703125;-171.57101440429687
9999831884.0579014;-138.64640808105469;-166.52052307128906
9999833333.3332634;-139.49520874023437;-169.02705383300781
9999834782.6086254;-138.65042114257812;-166.43614196777344
9999836231.8839874;-138.71409606933594;-168.48690795898437
9999837681.1593494;-138.62606811523437;-177.04090881347656
9999839130.4347115;-137.49227905273437;-176.90658569335938
9999840579.7100735;-135.38232421875;-189.15892028808594
9999842028.9854355;-135.89434814453125;-197.49946594238281
9999843478.2607975;-136.43753051757812;-186.43917846679687
9999844927.5361595;-136.68344116210937;-192.69900512695312
9999846376.8115215;-136.78776550292969;-200
9999847826.0868835;-137.09161376953125;-185.962158203125
9999849275.3622456;-124.97880554199219;-188.19564819335938
9999850724.6376076;-136.19493103027344;-185.54541015625
9999852173.9129696;-136.48756408691406;-188.47554016113281
9999853623.1883316;-136.91915893554687;-182.67752075195312
9999855072.4636936;-137.27630615234375;-183.80584716796875
9999856521.7390556;-136.94563293457031;-185.28016662597656
9999857971.0144176;-138.17962646484375;-191.71098327636719
9999859420.2897797;-136.99075317382812;-186.08836364746094
9999860869.5651417;-136.51548767089844;-189.42961120605469
9999862318.8405037;-137.70515441894531;-198.09068298339844
9999863768.1158657;-135.60276794433594;-191.36466979980469
9999865217.3912277;-137.81826782226562;-185.46481323242187
9999866666.6665897;-136.266845703125;-187.81710815429688
9999868115.9419518;-137.69886779785156;-189.24710083007812
9999869565.2173138;-137.61752319335937;-195.25788879394531
9999871014.4926758;-137.51565551757813;-189.0701904296875
9999872463.7680378;-136.91059875488281;-195.06150817871094
9999873913.0433998;-137.47654724121094;-183.31883239746094
9999875362.3187618;-136.72352600097656;-183.80438232421875
9999876811.5941238;-136.08811950683594;-180.22401428222656
9999878260.8694859;-137.16667175292969;-187.87127685546875
9999879710.1448479;-137.6417236328125;-198.29429626464844
9999881159.4202099;-126.64512634277344;-188.89154052734375
9999882608.6955719;-136.9949951171875;-200
9999884057.9709339;-138.10186767578125;-189.21839904785156
9999885507.2462959;-136.36431884765625;-194.64605712890625
9999886956.5216579;-136.62242126464844;-192.79862976074219
9999888405.79702;-135.95048522949219;-188.29570007324219
9999889855.072382;-136.98823547363281;-193.80731201171875
9999891304.347744;-135.82380676269531;-187.38102722167969
9999892753.623106;-136.7283935546875;-192.1485595703125
9999894202.898468;-136.49838256835937;-184.31208801269531
